Date,Time,Easting,Northing,Datetime
2024-09-19,21:07:37.392,462462.106100,6431215.717800,2024-09-19 21:07:37.392
2024-09-19,21:07:39.229,462466.266900,6431215.503700,2024-09-19 21:07:39.229
2024-09-19,21:07:41.078,462470.430400,6431215.368200,2024-09-19 21:07:41.078
2024-09-19,21:07:42.924,462474.569300,6431215.643900,2024-09-19 21:07:42.924
2024-09-19,21:07:44.759,462478.725500,6431214.859500,2024-09-19 21:07:44.759
2024-09-19,21:07:46.596,462482.967700,6431214.969900,2024-09-19 21:07:46.596
2024-09-19,21:07:48.431,462487.002000,6431214.754900,2024-09-19 21:07:48.431
2024-09-19,21:07:50.265,462491.104600,6431214.448300,2024-09-19 21:07:50.265
2024-09-19,21:07:52.108,462495.300000,6431214.143300,2024-09-19 21:07:52.108
2024-09-19,21:07:53.956,462499.570500,6431214.250500,2024-09-19 21:07:53.956
2024-09-19,21:07:57.642,462507.879300,6431213.763000,2024-09-19 21:07:57.642
2024-09-19,21:07:59.470,462512.026900,6431213.583700,2024-09-19 21:07:59.470
2024-09-19,21:08:01.318,462516.084800,6431213.717800,2024-09-19 21:08:01.318
2024-09-19,21:08:03.150,462520.225000,6431213.497900,2024-09-19 21:08:03.150
2024-09-19,21:08:04.979,462524.342900,6431215.054000,2024-09-19 21:08:04.979
2024-09-19,21:08:06.836,462528.589300,6431212.843100,2024-09-19 21:08:06.836
2024-09-19,21:08:08.676,462532.733600,6431212.716200,2024-09-19 21:08:08.676
2024-09-19,21:08:10.524,462536.897300,6431212.648200,2024-09-19 21:08:10.524
2024-09-19,21:08:12.394,462541.140600,6431212.633900,2024-09-19 21:08:12.394
2024-09-19,21:08:14.229,462545.264600,6431209.001100,2024-09-19 21:08:14.229
2024-09-19,21:08:16.067,462549.471300,6431212.061700,2024-09-19 21:08:16.067
2024-09-19,21:08:17.911,462553.638900,6431212.427700,2024-09-19 21:08:17.911
2024-09-19,21:08:19.740,462557.768100,6431212.209300,2024-09-19 21:08:19.740
2024-09-19,21:08:21.595,462561.940500,6431211.696400,2024-09-19 21:08:21.595
2024-09-19,21:08:23.436,462566.086400,6431211.713000,2024-09-19 21:08:23.436
2024-09-19,21:08:25.282,462570.201400,6431211.510900,2024-09-19 21:08:25.282
2024-09-19,21:08:27.128,462574.374400,6431211.227600,2024-09-19 21:08:27.128
2024-09-19,21:08:28.953,462578.455300,6431211.358400,2024-09-19 21:08:28.953
2024-09-19,21:08:30.807,462582.534100,6431211.865500,2024-09-19 21:08:30.807
2024-09-19,21:08:32.656,462586.703500,6431210.937400,2024-09-19 21:08:32.656
2024-09-19,21:08:34.490,462590.957100,6431210.823400,2024-09-19 21:08:34.490
2024-09-19,21:08:36.335,462595.127600,6431210.964600,2024-09-19 21:08:36.335
2024-09-19,21:08:38.173,462599.160600,6431210.704500,2024-09-19 21:08:38.173
2024-09-19,21:08:40.020,462603.323100,6431210.219700,2024-09-19 21:08:40.020
2024-09-19,21:08:41.860,462607.466300,6431210.162900,2024-09-19 21:08:41.860
2024-09-19,21:08:43.706,462611.608600,6431210.195300,2024-09-19 21:08:43.706
2024-09-19,21:08:45.540,462615.835100,6431210.321600,2024-09-19 21:08:45.540
2024-09-19,21:08:47.375,462619.860200,6431209.895700,2024-09-19 21:08:47.375
2024-09-19,21:08:49.209,462624.007000,6431209.566700,2024-09-19 21:08:49.209
2024-09-19,21:08:51.063,462628.148800,6431209.448100,2024-09-19 21:08:51.063
2024-09-19,21:08:52.899,462632.411500,6431209.595700,2024-09-19 21:08:52.899
2024-09-19,21:08:54.744,462636.575200,6431209.146100,2024-09-19 21:08:54.744
2024-09-19,21:08:56.577,462640.728500,6431209.041400,2024-09-19 21:08:56.577
2024-09-19,21:08:58.425,462644.893500,6431209.019800,2024-09-19 21:08:58.425
2024-09-19,21:09:00.257,462649.029100,6431209.275200,2024-09-19 21:09:00.257
2024-09-19,21:09:02.095,462653.079200,6431208.209500,2024-09-19 21:09:02.095
2024-09-19,21:09:07.633,462665.653200,6431208.247800,2024-09-19 21:09:07.633
2024-09-19,21:09:09.461,462669.734100,6431208.021300,2024-09-19 21:09:09.461
2024-09-19,21:09:11.291,462673.898200,6431207.996700,2024-09-19 21:09:11.291
2024-09-19,21:09:13.132,462678.042400,6431207.641600,2024-09-19 21:09:13.132
2024-09-19,21:09:14.970,462682.211600,6431207.965100,2024-09-19 21:09:14.970
2024-09-19,21:09:16.805,462686.316700,6431207.745800,2024-09-19 21:09:16.805
2024-09-19,21:09:18.650,462690.498000,6431207.432300,2024-09-19 21:09:18.650
2024-09-19,21:09:20.489,462694.645400,6431206.947800,2024-09-19 21:09:20.489
2024-09-19,21:09:22.334,462698.794500,6431207.012300,2024-09-19 21:09:22.334
2024-09-19,21:09:24.175,462702.957900,6431207.266800,2024-09-19 21:09:24.175
