Date,Time,Easting,Northing
2024-09-19,22:11:26.366,471056.9548,6430910.5545
2024-09-19,22:11:28.204,471061.0369,6430910.5464
2024-09-19,22:11:30.038,471065.1255,6430910.4556
2024-09-19,22:11:31.890,471069.2658,6430910.4252
2024-09-19,22:11:33.727,471073.3042,6430910.2496
2024-09-19,22:11:35.579,471077.4335,6430910.2165
2024-09-19,22:11:37.411,471081.5029,6430910.0613
2024-09-19,22:11:39.251,471085.5925,6430909.9913
2024-09-19,22:11:41.073,471089.6098,6430909.5843
2024-09-19,22:11:42.933,471093.7234,6430909.5265
2024-09-19,22:11:44.772,471097.7048,6430909.5990
2024-09-19,22:11:46.602,471101.8459,6430909.0534
2024-09-19,22:11:48.450,471105.9748,6430908.5374
2024-09-19,22:11:50.274,471110.0113,6430908.4591
2024-09-19,22:11:52.117,471114.0936,6430908.9920
2024-09-19,22:11:53.963,471118.1661,6430908.6459
2024-09-19,22:11:55.802,471122.2417,6430908.5134
2024-09-19,22:11:57.649,471126.3062,6430908.3758
2024-09-19,22:11:59.492,471130.4240,6430907.8081
2024-09-19,22:12:01.332,471134.4974,6430907.6696
2024-09-19,22:12:03.172,471138.5805,6430907.5755
2024-09-19,22:12:05.016,471142.6756,6430907.4757
2024-09-19,22:12:06.850,471146.7579,6430907.5152
2024-09-19,22:12:08.695,471150.8446,6430906.9400
2024-09-19,22:12:10.541,471154.9413,6430907.2157
2024-09-19,22:12:12.380,471159.0229,6430907.1344
2024-09-19,22:12:14.231,471163.1510,6430907.0054
2024-09-19,22:12:19.067,471173.8211,6430907.6732
2024-09-19,22:12:20.901,471177.8955,6430906.3486
2024-09-19,22:12:22.742,471181.9713,6430906.3102
2024-09-19,22:12:24.580,471186.0594,6430906.2918
2024-09-19,22:12:26.416,471253.2760,6430909.4176
2024-09-19,22:12:30.078,471198.2946,6430906.0607
2024-09-19,22:12:31.935,471202.5486,6430905.8464
2024-09-19,22:12:33.777,471206.4150,6430905.6844
2024-09-19,22:12:35.629,471210.4934,6430905.1873
2024-09-19,22:12:37.471,471214.6185,6430904.9773
